,ServerName,CharacterName,CharacterLevel,CharacterClassName,ItemAvgLevel,ItemMaxLevel,expediction_townname,user
0,아브렐슈드,포힐링,25,호크아이,123.82,0.00,원정대 영지 개방까지 도달하지 못한 자,민트찹찹
1,아브렐슈드,니까이,50,배틀마스터,361.67,361.67,원정대 영지 개방까지 도달하지 못한 자,민트찹찹
2,루페온,핑크찹찹,60,바드,"1,540.00","1,540.00",이마트24,민트찹찹
3,루페온,블루찹찹,59,슬레이어,"1,460.00","1,460.00",이마트24,민트찹찹
4,루페온,퍼플찹찹,63,기상술사,"1,580.00","1,580.00",이마트24,민트찹찹
5,루페온,옐로찹찹,60,블레이드,"1,460.00","1,460.00",이마트24,민트찹찹
6,루페온,실버찹찹,60,도화가,"1,550.00","1,550.00",이마트24,민트찹찹
7,루페온,민트찹찹,65,창술사,"1,640.00","1,640.00",이마트24,민트찹찹
8,루페온,블랙찹찹,60,배틀마스터,"1,550.00","1,550.00",이마트24,민트찹찹
9,루페온,레드찹찹,63,리퍼,"1,603.33","1,603.33",이마트24,민트찹찹
10,루페온,골드찹찹,60,건슬링어,"1,543.33","1,543.33",이마트24,민트찹찹
11,아브렐슈드,COINAGE,70,소울이터,"1,640.00","1,640.00",록셀,COINAGE
12,아브렐슈드,양동5호,61,스카우터,"1,540.00","1,540.00",록셀,COINAGE
13,아브렐슈드,양동3호,62,데모닉,"1,600.83","1,600.83",록셀,COINAGE
14,아브렐슈드,양동2호,59,배틀마스터,"1,415.00","1,415.00",록셀,COINAGE
15,아브렐슈드,양동1호,61,바드,"1,540.00","1,540.00",록셀,COINAGE
16,아브렐슈드,양면의동전,60,아르카나,"1,415.00","1,415.00",록셀,COINAGE
17,카제로스,양동7호,10,홀리나이트,50.00,50.00,원정대 영지 개방까지 도달하지 못한 자,COINAGE
18,니나브,양동9호,50,홀리나이트,"1,302.00","1,302.00",원정대 영지 개방까지 도달하지 못한 자,COINAGE
19,실리안,암살9급공무원,66,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
20,실리안,암살시행착오,66,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
21,실리안,방화동사시미,66,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
22,실리안,고척동사시미,70,소울이터,"1,600.00","1,600.00",잘사는집,마포구사시미
23,실리안,개봉동사시미,69,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
24,실리안,신사동사시미,70,소울이터,"1,640.00","1,640.00",잘사는집,마포구사시미
25,실리안,금호동믹서기,67,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
26,실리안,서강동믹서기,66,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
27,실리안,연남동믹서기,66,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
28,실리안,온수동믹서기,66,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
29,실리안,구로동믹서기,67,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
30,실리안,개화동믹서기,68,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
31,실리안,방화동믹서기,67,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
32,실리안,화곡동믹서기,66,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
33,실리안,신월동믹서기,66,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
34,실리안,합정동믹서기,66,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
35,실리안,상암동믹서기,67,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
36,실리안,마포구사시미,70,소울이터,"1,640.00","1,640.00",잘사는집,마포구사시미
37,실리안,장안동믹서기,68,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
38,실리안,개봉동믹서기,70,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
39,실리안,고척동믹서기,67,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
40,실리안,가양동믹서기,69,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
41,실리안,신사동아이스,67,소서리스,"1,585.00","1,585.00",잘사는집,마포구사시미
42,실리안,신사동믹서기,66,소울이터,"1,585.00","1,585.00",잘사는집,마포구사시미
43,카단,3버블씨,67,블레이드,"1,640.00","1,640.00",이상해씨땅,연노랑씨
44,카단,어이권씨,66,브레이커,"1,590.83","1,590.83",이상해씨땅,연노랑씨
45,카단,호왕씨,60,스트라이커,"1,560.00","1,560.00",이상해씨땅,연노랑씨
46,카단,피바람씨,62,슬레이어,"1,596.67","1,596.67",이상해씨땅,연노랑씨
47,카단,봄바람씨,60,기상술사,"1,545.00","1,545.00",이상해씨땅,연노랑씨
48,카단,연노랑씨,70,아르카나,"1,640.00","1,640.00",이상해씨땅,연노랑씨
49,카단,연분홍씨,63,기공사,"1,585.83","1,585.83",이상해씨땅,연노랑씨
50,카단,연파랑씨,60,리퍼,"1,528.33","1,528.33",이상해씨땅,연노랑씨
51,카단,랑해씨,60,도화가,"1,543.33","1,543.33",이상해씨땅,연노랑씨
52,카단,LeeSangHeaC,70,건슬링어,"1,644.17","1,644.17",이상해씨땅,연노랑씨
53,카마인,가자가자구우,10,무도가(남),0.00,0.00,우와영지다,아장술사
54,카마인,카멘로드바드,69,바드,"1,586.67","1,586.67",우와영지다,아장술사
55,카마인,영혼먹먹,70,소울이터,"1,640.83","1,640.83",우와영지다,아장술사
56,카마인,전진여전사,70,슬레이어,"1,643.33","1,643.33",우와영지다,아장술사
57,카마인,아장술사,70,기상술사,"1,644.17","1,644.17",우와영지다,아장술사
58,카마인,조금씩아장,70,도화가,"1,660.33","1,660.33",우와영지다,아장술사
59,카마인,가자구우우우,60,배틀마스터,"1,385.00","1,385.00",우와영지다,아장술사
60,카마인,가자구용,60,창술사,"1,490.00","1,490.00",우와영지다,아장술사
